mean=0.936, std=0.011, quantiles=(0.860, 0.933, 0.940, 0.942, 0.945)
mean=0.934, std=0.011, quantiles=(0.837, 0.933, 0.938, 0.940, 0.943)
mean=0.933, std=0.011, quantiles=(0.852, 0.932, 0.937, 0.940, 0.943)
mean=0.933, std=0.012, quantiles=(0.845, 0.932, 0.938, 0.940, 0.944)
mean=0.932, std=0.012, quantiles=(0.845, 0.931, 0.936, 0.939, 0.943)
mean=0.932, std=0.013, quantiles=(0.844, 0.931, 0.937, 0.939, 0.943)
mean=0.932, std=0.013, quantiles=(0.829, 0.931, 0.937, 0.939, 0.943)
mean=0.932, std=0.013, quantiles=(0.819, 0.931, 0.937, 0.939, 0.944)
mean=0.932, std=0.013, quantiles=(0.835, 0.931, 0.937, 0.939, 0.944)
mean=0.932, std=0.013, quantiles=(0.822, 0.931, 0.937, 0.939, 0.944)
mean=0.932, std=0.013, quantiles=(0.818, 0.931, 0.937, 0.939, 0.944)
mean=0.932, std=0.013, quantiles=(0.818, 0.931, 0.937, 0.939, 0.944)
mean=0.932, std=0.013, quantiles=(0.827, 0.931, 0.937, 0.939, 0.944)
mean=0.931, std=0.015, quantiles=(0.824, 0.931, 0.937, 0.940, 0.944)
mean=0.931, std=0.015, quantiles=(0.823, 0.931, 0.937, 0.939, 0.944)
mean=0.931, std=0.015, quantiles=(0.844, 0.931, 0.937, 0.939, 0.944)
mean=0.929, std=0.018, quantiles=(0.840, 0.931, 0.936, 0.939, 0.945)
mean=0.929, std=0.019, quantiles=(0.840, 0.931, 0.936, 0.939, 0.944)
mean=0.929, std=0.019, quantiles=(0.832, 0.930, 0.936, 0.939, 0.944)
mean=0.928, std=0.020, quantiles=(0.825, 0.930, 0.935, 0.938, 0.944)
mean=0.928, std=0.021, quantiles=(0.822, 0.930, 0.935, 0.938, 0.944)
mean=0.928, std=0.021, quantiles=(0.819, 0.930, 0.935, 0.938, 0.944)
mean=0.928, std=0.021, quantiles=(0.817, 0.930, 0.935, 0.938, 0.944)
mean=0.928, std=0.021, quantiles=(0.815, 0.930, 0.935, 0.938, 0.944)
mean=0.928, std=0.021, quantiles=(0.814, 0.930, 0.935, 0.938, 0.944)
mean=0.928, std=0.021, quantiles=(0.814, 0.930, 0.935, 0.938, 0.944)
mean=0.928, std=0.021, quantiles=(0.814, 0.930, 0.935, 0.938, 0.944)
mean=0.928, std=0.021, quantiles=(0.814, 0.929, 0.935, 0.938, 0.944)
mean=0.927, std=0.021, quantiles=(0.812, 0.929, 0.935, 0.938, 0.944)
mean=0.927, std=0.021, quantiles=(0.812, 0.929, 0.935, 0.938, 0.944)
mean=0.927, std=0.021, quantiles=(0.811, 0.929, 0.935, 0.938, 0.944)
mean=0.927, std=0.021, quantiles=(0.811, 0.929, 0.935, 0.938, 0.944)
mean=0.927, std=0.021, quantiles=(0.811, 0.929, 0.934, 0.938, 0.944)
mean=0.927, std=0.021, quantiles=(0.811, 0.929, 0.934, 0.938, 0.944)
mean=0.927, std=0.021, quantiles=(0.811, 0.929, 0.934, 0.938, 0.944)
mean=0.927, std=0.021, quantiles=(0.811, 0.929, 0.934, 0.938, 0.944)
mean=0.927, std=0.021, quantiles=(0.811, 0.929, 0.934, 0.938, 0.944)
mean=0.927, std=0.021, quantiles=(0.811, 0.929, 0.934, 0.938, 0.944)
mean=0.927, std=0.021, quantiles=(0.811, 0.929, 0.934, 0.938, 0.944)
mean=0.927, std=0.021, quantiles=(0.811, 0.929, 0.934, 0.938, 0.944)
mean=0.927, std=0.021, quantiles=(0.811, 0.929, 0.934, 0.938, 0.944)
mean=0.927, std=0.020, quantiles=(0.810, 0.929, 0.934, 0.938, 0.944)
mean=0.927, std=0.020, quantiles=(0.810, 0.929, 0.934, 0.938, 0.943)
mean=0.927, std=0.020, quantiles=(0.811, 0.929, 0.934, 0.938, 0.943)
mean=0.927, std=0.020, quantiles=(0.811, 0.929, 0.934, 0.938, 0.943)
mean=0.927, std=0.020, quantiles=(0.811, 0.929, 0.934, 0.938, 0.943)
mean=0.927, std=0.020, quantiles=(0.811, 0.929, 0.934, 0.938, 0.943)
mean=0.927, std=0.020, quantiles=(0.811, 0.929, 0.934, 0.938, 0.943)
mean=0.927, std=0.019, quantiles=(0.813, 0.929, 0.934, 0.938, 0.943)
mean=0.927, std=0.019, quantiles=(0.815, 0.929, 0.934, 0.938, 0.943)
mean=0.927, std=0.019, quantiles=(0.815, 0.929, 0.934, 0.938, 0.943)
mean=0.927, std=0.020, quantiles=(0.815, 0.928, 0.933, 0.937, 0.943)
mean=0.927, std=0.020, quantiles=(0.815, 0.928, 0.933, 0.937, 0.943)
mean=0.927, std=0.020, quantiles=(0.815, 0.928, 0.933, 0.937, 0.943)
mean=0.927, std=0.020, quantiles=(0.815, 0.928, 0.933, 0.937, 0.943)
mean=0.927, std=0.020, quantiles=(0.814, 0.928, 0.933, 0.937, 0.943)
mean=0.927, std=0.020, quantiles=(0.814, 0.928, 0.933, 0.937, 0.943)
mean=0.927, std=0.020, quantiles=(0.814, 0.928, 0.933, 0.937, 0.942)
mean=0.927, std=0.020, quantiles=(0.814, 0.928, 0.933, 0.937, 0.942)
mean=0.927, std=0.020, quantiles=(0.814, 0.928, 0.933, 0.937, 0.942)
mean=0.927, std=0.019, quantiles=(0.814, 0.927, 0.933, 0.937, 0.942)
mean=0.927, std=0.019, quantiles=(0.814, 0.927, 0.933, 0.937, 0.942)
mean=0.926, std=0.020, quantiles=(0.814, 0.927, 0.933, 0.937, 0.942)
mean=0.926, std=0.020, quantiles=(0.814, 0.927, 0.933, 0.937, 0.942)
mean=0.926, std=0.020, quantiles=(0.817, 0.927, 0.933, 0.937, 0.942)
mean=0.927, std=0.019, quantiles=(0.818, 0.928, 0.934, 0.938, 0.943)
mean=0.927, std=0.019, quantiles=(0.817, 0.928, 0.933, 0.937, 0.942)
mean=0.927, std=0.019, quantiles=(0.818, 0.928, 0.933, 0.937, 0.942)
mean=0.927, std=0.019, quantiles=(0.818, 0.927, 0.933, 0.937, 0.942)
mean=0.927, std=0.019, quantiles=(0.818, 0.927, 0.933, 0.937, 0.942)
mean=0.926, std=0.019, quantiles=(0.818, 0.926, 0.933, 0.937, 0.942)
mean=0.926, std=0.019, quantiles=(0.818, 0.926, 0.933, 0.937, 0.942)
mean=0.925, std=0.020, quantiles=(0.817, 0.924, 0.931, 0.936, 0.941)
mean=0.924, std=0.020, quantiles=(0.817, 0.924, 0.931, 0.936, 0.940)
mean=0.924, std=0.020, quantiles=(0.828, 0.924, 0.931, 0.936, 0.940)
mean=0.924, std=0.019, quantiles=(0.827, 0.923, 0.930, 0.935, 0.940)
mean=0.926, std=0.018, quantiles=(0.827, 0.925, 0.932, 0.937, 0.941)
mean=0.926, std=0.018, quantiles=(0.824, 0.925, 0.932, 0.936, 0.941)
mean=0.926, std=0.018, quantiles=(0.824, 0.925, 0.932, 0.936, 0.941)
mean=0.925, std=0.018, quantiles=(0.824, 0.924, 0.931, 0.936, 0.940)
mean=0.925, std=0.018, quantiles=(0.824, 0.924, 0.931, 0.936, 0.940)
mean=0.926, std=0.018, quantiles=(0.824, 0.925, 0.932, 0.936, 0.941)
mean=0.926, std=0.018, quantiles=(0.824, 0.925, 0.932, 0.936, 0.941)
mean=0.926, std=0.018, quantiles=(0.824, 0.924, 0.932, 0.936, 0.940)
mean=0.925, std=0.018, quantiles=(0.824, 0.924, 0.932, 0.936, 0.940)
mean=0.925, std=0.018, quantiles=(0.828, 0.924, 0.932, 0.936, 0.940)
mean=0.925, std=0.018, quantiles=(0.826, 0.924, 0.932, 0.936, 0.940)
mean=0.925, std=0.018, quantiles=(0.820, 0.923, 0.931, 0.936, 0.940)
mean=0.925, std=0.019, quantiles=(0.819, 0.923, 0.931, 0.935, 0.940)
mean=0.925, std=0.019, quantiles=(0.819, 0.923, 0.931, 0.935, 0.940)
mean=0.936, std=0.011, quantiles=(0.846, 0.933, 0.940, 0.942, 0.945)
mean=0.935, std=0.011, quantiles=(0.830, 0.933, 0.939, 0.942, 0.945)
mean=0.935, std=0.011, quantiles=(0.853, 0.933, 0.939, 0.941, 0.945)
mean=0.934, std=0.012, quantiles=(0.855, 0.932, 0.938, 0.940, 0.944)
mean=0.932, std=0.013, quantiles=(0.830, 0.932, 0.937, 0.939, 0.943)
mean=0.932, std=0.013, quantiles=(0.823, 0.932, 0.936, 0.939, 0.943)
mean=0.932, std=0.013, quantiles=(0.818, 0.931, 0.936, 0.939, 0.943)
mean=0.932, std=0.013, quantiles=(0.823, 0.931, 0.936, 0.938, 0.943)
mean=0.932, std=0.013, quantiles=(0.826, 0.931, 0.936, 0.938, 0.943)
mean=0.931, std=0.013, quantiles=(0.830, 0.931, 0.935, 0.938, 0.943)
mean=0.931, std=0.013, quantiles=(0.828, 0.931, 0.935, 0.938, 0.943)
mean=0.930, std=0.013, quantiles=(0.825, 0.930, 0.934, 0.937, 0.942)
mean=0.929, std=0.014, quantiles=(0.824, 0.929, 0.934, 0.936, 0.942)
mean=0.928, std=0.014, quantiles=(0.823, 0.929, 0.933, 0.935, 0.941)
mean=0.928, std=0.014, quantiles=(0.822, 0.928, 0.932, 0.935, 0.941)
mean=0.927, std=0.014, quantiles=(0.822, 0.927, 0.932, 0.934, 0.940)
mean=0.927, std=0.014, quantiles=(0.822, 0.927, 0.931, 0.934, 0.940)
mean=0.924, std=0.017, quantiles=(0.818, 0.924, 0.929, 0.932, 0.939)
mean=0.923, std=0.017, quantiles=(0.817, 0.924, 0.928, 0.931, 0.939)
mean=0.923, std=0.017, quantiles=(0.817, 0.923, 0.928, 0.931, 0.940)
