mean=0.935, std=0.014, quantiles=(0.810, 0.933, 0.940, 0.942, 0.945)
mean=0.935, std=0.014, quantiles=(0.810, 0.932, 0.939, 0.942, 0.946)
mean=0.934, std=0.014, quantiles=(0.810, 0.931, 0.939, 0.942, 0.945)
mean=0.934, std=0.015, quantiles=(0.810, 0.931, 0.939, 0.942, 0.945)
mean=0.935, std=0.015, quantiles=(0.810, 0.932, 0.939, 0.943, 0.946)
mean=0.935, std=0.015, quantiles=(0.810, 0.932, 0.939, 0.942, 0.946)
mean=0.934, std=0.015, quantiles=(0.810, 0.932, 0.938, 0.942, 0.946)
mean=0.934, std=0.015, quantiles=(0.810, 0.932, 0.938, 0.942, 0.945)
mean=0.933, std=0.015, quantiles=(0.810, 0.931, 0.937, 0.940, 0.945)
mean=0.933, std=0.016, quantiles=(0.810, 0.931, 0.937, 0.940, 0.945)
mean=0.933, std=0.016, quantiles=(0.810, 0.931, 0.937, 0.940, 0.945)
mean=0.933, std=0.016, quantiles=(0.810, 0.931, 0.937, 0.940, 0.944)
mean=0.933, std=0.016, quantiles=(0.810, 0.930, 0.937, 0.940, 0.944)
mean=0.932, std=0.017, quantiles=(0.810, 0.930, 0.937, 0.940, 0.945)
mean=0.932, std=0.017, quantiles=(0.810, 0.929, 0.936, 0.940, 0.945)
mean=0.931, std=0.017, quantiles=(0.810, 0.929, 0.936, 0.940, 0.944)
mean=0.931, std=0.018, quantiles=(0.810, 0.928, 0.935, 0.940, 0.944)
mean=0.930, std=0.018, quantiles=(0.810, 0.928, 0.935, 0.939, 0.944)
mean=0.930, std=0.018, quantiles=(0.810, 0.927, 0.935, 0.939, 0.944)
mean=0.929, std=0.018, quantiles=(0.810, 0.927, 0.934, 0.939, 0.945)
mean=0.929, std=0.018, quantiles=(0.810, 0.927, 0.934, 0.938, 0.945)
mean=0.929, std=0.018, quantiles=(0.810, 0.927, 0.933, 0.938, 0.945)
mean=0.929, std=0.019, quantiles=(0.810, 0.927, 0.933, 0.938, 0.945)
mean=0.929, std=0.019, quantiles=(0.810, 0.927, 0.933, 0.938, 0.944)
mean=0.929, std=0.019, quantiles=(0.810, 0.927, 0.933, 0.938, 0.945)
mean=0.929, std=0.019, quantiles=(0.810, 0.927, 0.933, 0.938, 0.945)
mean=0.928, std=0.019, quantiles=(0.810, 0.926, 0.933, 0.938, 0.944)
mean=0.927, std=0.019, quantiles=(0.810, 0.925, 0.931, 0.937, 0.944)
mean=0.927, std=0.019, quantiles=(0.810, 0.925, 0.931, 0.936, 0.944)
mean=0.927, std=0.020, quantiles=(0.810, 0.925, 0.931, 0.936, 0.943)
