mean=0.526, std=0.066, quantiles=(0.395, 0.474, 0.530, 0.581, 0.680)
mean=0.524, std=0.067, quantiles=(0.389, 0.471, 0.523, 0.580, 0.684)
mean=0.521, std=0.070, quantiles=(0.385, 0.464, 0.514, 0.580, 0.692)
mean=0.521, std=0.070, quantiles=(0.384, 0.463, 0.513, 0.580, 0.692)
mean=0.520, std=0.072, quantiles=(0.382, 0.460, 0.509, 0.581, 0.695)
mean=0.520, std=0.072, quantiles=(0.382, 0.460, 0.509, 0.581, 0.696)
mean=0.520, std=0.072, quantiles=(0.382, 0.460, 0.509, 0.582, 0.696)
mean=0.520, std=0.071, quantiles=(0.383, 0.460, 0.510, 0.582, 0.696)
mean=0.520, std=0.071, quantiles=(0.387, 0.460, 0.509, 0.582, 0.696)
mean=0.520, std=0.072, quantiles=(0.401, 0.459, 0.508, 0.583, 0.697)
mean=0.518, std=0.073, quantiles=(0.385, 0.458, 0.504, 0.584, 0.699)
mean=0.518, std=0.074, quantiles=(0.383, 0.458, 0.503, 0.585, 0.699)
mean=0.518, std=0.074, quantiles=(0.384, 0.458, 0.504, 0.585, 0.699)
mean=0.518, std=0.074, quantiles=(0.383, 0.457, 0.503, 0.586, 0.702)
mean=0.518, std=0.074, quantiles=(0.381, 0.457, 0.503, 0.586, 0.702)
mean=0.518, std=0.074, quantiles=(0.386, 0.457, 0.503, 0.586, 0.702)
mean=0.516, std=0.077, quantiles=(0.384, 0.454, 0.499, 0.590, 0.702)
mean=0.514, std=0.080, quantiles=(0.384, 0.450, 0.495, 0.592, 0.701)
