mean=0.526, std=0.066, quantiles=(0.395, 0.474, 0.530, 0.581, 0.680)
mean=0.469, std=0.057, quantiles=(0.393, 0.430, 0.440, 0.505, 0.696)
mean=0.455, std=0.067, quantiles=(0.385, 0.399, 0.423, 0.506, 0.699)
mean=0.443, std=0.076, quantiles=(0.384, 0.390, 0.415, 0.460, 0.702)
mean=0.475, std=0.081, quantiles=(0.386, 0.401, 0.450, 0.539, 0.692)
mean=0.530, std=0.072, quantiles=(0.408, 0.467, 0.526, 0.584, 0.705)
mean=0.559, std=0.060, quantiles=(0.409, 0.518, 0.558, 0.599, 0.707)
mean=0.547, std=0.069, quantiles=(0.401, 0.500, 0.542, 0.595, 0.704)
mean=0.541, std=0.079, quantiles=(0.401, 0.477, 0.531, 0.595, 0.705)
mean=0.535, std=0.080, quantiles=(0.403, 0.471, 0.521, 0.588, 0.705)
mean=0.529, std=0.086, quantiles=(0.391, 0.459, 0.510, 0.588, 0.705)
mean=0.521, std=0.079, quantiles=(0.391, 0.459, 0.500, 0.575, 0.705)
mean=0.515, std=0.079, quantiles=(0.393, 0.456, 0.491, 0.563, 0.706)
mean=0.511, std=0.074, quantiles=(0.393, 0.456, 0.492, 0.553, 0.706)
mean=0.506, std=0.080, quantiles=(0.393, 0.443, 0.488, 0.551, 0.707)
mean=0.502, std=0.081, quantiles=(0.393, 0.438, 0.481, 0.551, 0.707)
mean=0.496, std=0.078, quantiles=(0.394, 0.436, 0.473, 0.540, 0.707)
mean=0.489, std=0.072, quantiles=(0.394, 0.436, 0.467, 0.521, 0.705)
mean=0.561, std=0.089, quantiles=(0.393, 0.480, 0.559, 0.635, 0.707)
mean=0.455, std=0.045, quantiles=(0.396, 0.416, 0.432, 0.494, 0.577)
mean=0.523, std=0.041, quantiles=(0.394, 0.494, 0.521, 0.547, 0.674)
mean=0.522, std=0.055, quantiles=(0.408, 0.474, 0.515, 0.567, 0.688)
mean=0.521, std=0.070, quantiles=(0.407, 0.460, 0.516, 0.577, 0.702)
mean=0.541, std=0.077, quantiles=(0.403, 0.478, 0.547, 0.606, 0.703)
mean=0.531, std=0.085, quantiles=(0.396, 0.452, 0.524, 0.613, 0.707)
mean=0.520, std=0.081, quantiles=(0.397, 0.456, 0.501, 0.595, 0.706)
mean=0.511, std=0.092, quantiles=(0.392, 0.429, 0.484, 0.594, 0.707)
mean=0.498, std=0.076, quantiles=(0.395, 0.429, 0.481, 0.543, 0.706)
mean=0.488, std=0.069, quantiles=(0.394, 0.424, 0.480, 0.534, 0.700)
mean=0.522, std=0.073, quantiles=(0.397, 0.468, 0.507, 0.572, 0.707)
mean=0.512, std=0.072, quantiles=(0.402, 0.461, 0.491, 0.554, 0.707)
mean=0.509, std=0.073, quantiles=(0.402, 0.450, 0.490, 0.549, 0.705)
mean=0.503, std=0.072, quantiles=(0.402, 0.448, 0.482, 0.546, 0.706)
mean=0.502, std=0.078, quantiles=(0.402, 0.441, 0.475, 0.546, 0.707)
mean=0.499, std=0.080, quantiles=(0.387, 0.437, 0.475, 0.547, 0.707)
mean=0.495, std=0.074, quantiles=(0.387, 0.438, 0.473, 0.533, 0.707)
mean=0.541, std=0.094, quantiles=(0.391, 0.452, 0.537, 0.611, 0.707)
mean=0.438, std=0.054, quantiles=(0.389, 0.403, 0.404, 0.461, 0.595)
mean=0.516, std=0.050, quantiles=(0.394, 0.477, 0.523, 0.547, 0.674)
mean=0.509, std=0.057, quantiles=(0.393, 0.457, 0.500, 0.544, 0.687)
mean=0.505, std=0.063, quantiles=(0.401, 0.458, 0.503, 0.548, 0.681)
mean=0.526, std=0.075, quantiles=(0.401, 0.470, 0.524, 0.577, 0.701)
mean=0.516, std=0.087, quantiles=(0.391, 0.440, 0.514, 0.573, 0.706)
mean=0.510, std=0.095, quantiles=(0.390, 0.419, 0.497, 0.585, 0.706)
mean=0.498, std=0.079, quantiles=(0.393, 0.422, 0.494, 0.543, 0.705)
mean=0.490, std=0.071, quantiles=(0.393, 0.428, 0.486, 0.535, 0.703)
mean=0.524, std=0.073, quantiles=(0.398, 0.468, 0.513, 0.570, 0.707)
mean=0.519, std=0.074, quantiles=(0.395, 0.463, 0.503, 0.567, 0.707)
mean=0.513, std=0.076, quantiles=(0.396, 0.456, 0.494, 0.554, 0.707)
mean=0.509, std=0.078, quantiles=(0.396, 0.447, 0.493, 0.549, 0.707)
mean=0.504, std=0.077, quantiles=(0.396, 0.443, 0.485, 0.546, 0.706)
mean=0.500, std=0.081, quantiles=(0.394, 0.429, 0.482, 0.546, 0.707)
mean=0.496, std=0.083, quantiles=(0.389, 0.422, 0.478, 0.546, 0.706)
mean=0.492, std=0.078, quantiles=(0.389, 0.425, 0.475, 0.537, 0.706)
mean=0.550, std=0.092, quantiles=(0.391, 0.471, 0.547, 0.609, 0.707)
mean=0.505, std=0.094, quantiles=(0.393, 0.420, 0.484, 0.573, 0.707)
mean=0.447, std=0.059, quantiles=(0.384, 0.396, 0.419, 0.502, 0.677)
mean=0.449, std=0.075, quantiles=(0.385, 0.400, 0.422, 0.454, 0.705)
mean=0.503, std=0.084, quantiles=(0.394, 0.426, 0.484, 0.566, 0.707)
mean=0.536, std=0.079, quantiles=(0.409, 0.470, 0.540, 0.594, 0.707)
mean=0.567, std=0.061, quantiles=(0.416, 0.521, 0.564, 0.604, 0.707)
mean=0.555, std=0.072, quantiles=(0.401, 0.504, 0.554, 0.605, 0.707)
mean=0.541, std=0.068, quantiles=(0.401, 0.487, 0.545, 0.589, 0.707)
mean=0.532, std=0.073, quantiles=(0.401, 0.470, 0.532, 0.588, 0.707)
mean=0.526, std=0.078, quantiles=(0.396, 0.459, 0.514, 0.588, 0.706)
mean=0.519, std=0.079, quantiles=(0.396, 0.454, 0.505, 0.581, 0.705)
mean=0.509, std=0.075, quantiles=(0.397, 0.452, 0.490, 0.556, 0.706)
mean=0.502, std=0.069, quantiles=(0.398, 0.453, 0.480, 0.534, 0.706)
mean=0.497, std=0.072, quantiles=(0.394, 0.442, 0.477, 0.533, 0.706)
mean=0.490, std=0.064, quantiles=(0.394, 0.445, 0.474, 0.523, 0.701)
mean=0.488, std=0.067, quantiles=(0.394, 0.437, 0.472, 0.523, 0.700)
mean=0.484, std=0.068, quantiles=(0.394, 0.428, 0.468, 0.522, 0.700)
mean=0.567, std=0.087, quantiles=(0.393, 0.499, 0.562, 0.657, 0.705)
mean=0.528, std=0.102, quantiles=(0.389, 0.432, 0.497, 0.634, 0.707)
mean=0.474, std=0.077, quantiles=(0.383, 0.398, 0.454, 0.533, 0.693)
mean=0.459, std=0.061, quantiles=(0.384, 0.412, 0.446, 0.484, 0.702)
mean=0.492, std=0.058, quantiles=(0.392, 0.445, 0.474, 0.523, 0.705)
mean=0.528, std=0.072, quantiles=(0.397, 0.470, 0.521, 0.580, 0.705)
mean=0.569, std=0.060, quantiles=(0.406, 0.527, 0.566, 0.606, 0.707)
mean=0.557, std=0.074, quantiles=(0.400, 0.506, 0.561, 0.606, 0.707)
mean=0.545, std=0.077, quantiles=(0.402, 0.483, 0.540, 0.591, 0.707)
mean=0.537, std=0.085, quantiles=(0.392, 0.462, 0.531, 0.596, 0.706)
mean=0.528, std=0.091, quantiles=(0.392, 0.447, 0.505, 0.601, 0.707)
mean=0.520, std=0.087, quantiles=(0.392, 0.441, 0.501, 0.583, 0.707)
mean=0.515, std=0.082, quantiles=(0.395, 0.446, 0.496, 0.573, 0.707)
mean=0.512, std=0.086, quantiles=(0.390, 0.436, 0.496, 0.573, 0.707)
mean=0.504, std=0.076, quantiles=(0.390, 0.441, 0.490, 0.543, 0.705)
mean=0.497, std=0.076, quantiles=(0.390, 0.439, 0.479, 0.534, 0.706)
mean=0.493, std=0.073, quantiles=(0.390, 0.438, 0.475, 0.527, 0.706)
mean=0.489, std=0.074, quantiles=(0.390, 0.431, 0.470, 0.526, 0.706)
mean=0.553, std=0.100, quantiles=(0.396, 0.456, 0.564, 0.652, 0.707)
mean=0.501, std=0.107, quantiles=(0.390, 0.405, 0.457, 0.617, 0.707)
mean=0.436, std=0.045, quantiles=(0.393, 0.409, 0.415, 0.442, 0.655)
mean=0.472, std=0.064, quantiles=(0.392, 0.411, 0.457, 0.524, 0.671)
mean=0.468, std=0.081, quantiles=(0.384, 0.394, 0.433, 0.536, 0.707)
mean=0.525, std=0.066, quantiles=(0.407, 0.480, 0.527, 0.565, 0.706)
mean=0.513, std=0.075, quantiles=(0.394, 0.447, 0.517, 0.560, 0.707)
mean=0.508, std=0.082, quantiles=(0.392, 0.435, 0.506, 0.559, 0.707)
mean=0.499, std=0.074, quantiles=(0.392, 0.436, 0.498, 0.549, 0.705)
mean=0.533, std=0.070, quantiles=(0.407, 0.478, 0.522, 0.575, 0.706)
mean=0.527, std=0.074, quantiles=(0.405, 0.463, 0.519, 0.570, 0.706)
mean=0.520, std=0.079, quantiles=(0.391, 0.457, 0.498, 0.571, 0.706)
mean=0.514, std=0.078, quantiles=(0.394, 0.455, 0.493, 0.560, 0.706)
mean=0.509, std=0.074, quantiles=(0.393, 0.457, 0.487, 0.551, 0.707)
mean=0.502, std=0.072, quantiles=(0.393, 0.452, 0.479, 0.537, 0.707)
mean=0.498, std=0.073, quantiles=(0.393, 0.444, 0.478, 0.537, 0.705)
mean=0.495, std=0.075, quantiles=(0.392, 0.438, 0.471, 0.530, 0.706)
mean=0.491, std=0.069, quantiles=(0.391, 0.441, 0.472, 0.518, 0.707)
